county,prophappy,propfood,prophealthyfood,propfastfood,sentfood,sentfastfood,senthealthy,calories,propexercise,sentex,percentalc,sentalc
48107,.11397059,.036764707,.0036764706,.0036764706,.1,0,0,237.60001,.022058824,.16666667,.0073529412,0
48109,.12993763,.016632017,.0031185031,,.1875,,0,312.875,.016632017,.5625,.0020790021,.5
48111,.17434211,.02631579,.0032894737,.0098684207,.125,.33333334,0,244.6875,.0032894737,0,,
48113,.16253458,.046640996,.0066615241,.0046623442,.22578432,.12380952,.26073477,264.40369,.014810042,.24829173,.0068226149,.28878462
48115,.13123092,.032553408,.004069176,.001017294,.375,0,.25,272.79688,.012207528,.083333336,.001017294,1
48117,.090677969,.026271187,.0046610171,.0012711864,.14516129,0,.27272728,246.08064,.011864407,.17857143,.0042372881,.1
48119,.12708019,.010590015,,,.14285715,,,182.5,.013615734,.11111111,.0030257185,.5
48121,.17392482,.043043572,.0058620437,.0041317302,.24673617,.17906067,.22137931,244.9751,.015904332,.24504322,.0058741723,.27460426
48123,.12687813,.021424597,.0041736229,.0011129661,.16883117,0,.2,234.48701,.013355592,.125,.0019476906,.42857143
48125,.15348837,.023255814,.0046511628,.0093023255,.60000002,.5,1,262.5,.0093023255,0,.0046511628,0
48127,.2165163,.024288688,.0024288688,.001387925,.24285714,.5,.2857143,284.27856,.010062457,.31034482,.0038167939,.090909094
48129,.11090909,.025454545,.0018181818,.0018181818,.42857143,0,1,469.67856,.010909091,0,.0018181818,0
48131,.10138249,.022712311,.0026333113,.0016458196,.10144927,0,.5,314.55798,.012508229,.13157895,.0023041475,0
48133,.1138765,.023479691,.0035219535,.0021131721,.16,.11111111,.13333334,203.39999,.0091570793,.07692308,.0044611413,.21052632
48135,.15025546,.034718998,.0056897351,.0066767302,.16722408,.19130434,.15306123,271.54514,.012714816,.24200913,.0056897351,.23469388
48137,.097345136,.053097345,.017699115,,.33333334,,.5,228.83333,.017699115,0,,
48139,.13524796,.027167618,.004283872,.003431469,.23491552,.17197452,.27040815,247.38722,.013113894,.23833333,.0028194874,.15503876
48141,.16746148,.045157492,.0054263566,.0049847905,.26814428,.15354331,.29113925,244.89635,.016023943,.27679119,.0071729957,.31463748
48143,.17581755,.031555448,.0050078435,.0018703995,.20267686,.16129032,.19277108,255.25482,.015928563,.21590909,.0049475082,.19512194
48145,.1777042,.016556291,.004415011,.0022075055,.33333334,.5,0,218.96666,.014348786,.53846157,.0022075055,1
48147,.15521443,.024366472,.0051169591,.0019493178,.25999999,.25,.2857143,251.38,.0097465888,.075000003,.0026803119,.36363637
48149,.20991816,.044294655,.0086663458,.00264805,.28260869,0,.33333334,267.48688,.012518055,.23076923,.0038517092,.125
48151,.17391305,.018633541,.0062111802,,.33333334,,0,62,.01242236,0,,
48153,.15071283,.020366598,.0061099795,.00203666,.2,1,0,181.85001,.01629328,0,.00407332,0
48155,.12903225,.016129032,,,0,,,250,.016129032,0,,
48157,.14621225,.037959054,.0053465758,.0035788878,.24459091,.14893617,.28077313,239.26428,.014783309,.23546726,.006102602,.32976827
48159,.18671454,.033213645,.0026929982,.0044883303,.1891892,0,0,256.95947,.016157988,.3888889,.0026929982,.66666669
48161,.12883325,.019052804,.0034476502,.0021774631,.14285715,.083333336,.2631579,292.11539,.012883324,.21126761,.0030847397,0
48163,.10747664,.035169698,.0044269552,.0049188393,.14685315,.050000001,.22222222,251.90559,.012543039,.21568628,.005902607,.083333336
48165,.16388889,.033333335,.0097222226,,.29166666,,.2857143,271.78262,.011111111,0,.0027777778,.5
48167,.18698552,.041146927,.005484059,.0032640591,.2361111,.13804714,.26052105,201.43454,.019925047,.24269167,.0057917815,.27134725
48169,.19836956,.032608695,.016304348,,.16666667,,.16666667,195.20833,.019021738,.5714286,.0054347827,.5
48171,.34308162,.14011349,.025534701,.0015277171,.37850466,.5714286,.38461539,183.74416,.041684855,.52356023,.038847666,.26404494
48173,.18987341,.025316456,.0042194091,,.16666667,,0,137.5,.016877636,.25,.016877636,0
48175,.17468354,.051898733,.013924051,.0075949365,.17073171,0,.18181819,327.76828,.018987341,.13333334,.0075949365,.16666667
48177,.13277102,.034989066,.0090596685,.0028116214,.24107143,0,.37931034,242.4509,.01187129,.21052632,.002499219,.125
48179,.17708333,.01923077,.0040064105,.0016025641,.29166666,.5,.60000002,361.16666,.02323718,.1724138,.0016025641,.5
48181,.20100881,.044121057,.0041743969,.0052759741,.35085413,.23076923,.34722221,328.7189,.013856679,.25941423,.004000464,.2173913
48183,.17590967,.034726504,.0056454292,.0059300726,.22677596,.208,.25210086,253.52328,.016272118,.26239067,.0029887566,.22222222
48185,.13033749,.025358941,.0067126607,.0027969419,.18382353,.06666667,.19444445,272.47427,.0078314375,.11904762,.0057803467,.29032257
48187,.1371458,.035617378,.0047398247,.0036407351,.18322083,.16037735,.23188406,245.48065,.013189077,.1875,.004636785,.18518518
48189,.1349151,.022563387,.0044196323,.00418702,.12371134,0,.10526316,238.96391,.0072109792,.25806451,.0046522445,.1
48191,.1012931,.073275864,.056034483,,.05882353,,.03846154,147.62122,.017241379,.125,.012931035,0
48193,.17391305,.028985508,,,.2857143,,,183.07143,.01242236,.16666667,.0062111802,0
48195,.22435898,.051282052,.01923077,,.25,,0,135.875,.032051284,.40000001,,
48197,.1306715,.034482758,.0036297641,.001814882,.21052632,0,0,303.44446,.025408348,.071428575,.0090744104,.40000001
48199,.12844877,.019461935,.0027475674,.0014882656,.17058824,0,.29166666,241.29881,.011677161,.17647059,.0040068687,.14285715
